Месец,Број/Површина ( во m2 ),"Видови објекти од високоградба, број/површина ( во m2 )",value
2013M12,Број,12 Нестанбени згради,37
2013M12,Број,121 Хотели и слични згради,3
2013M12,Број,122 Деловни згради,3
2013M12,Број,123 Згради во трговијата на големо и на мало,6
2013M12,Број,125 Индустриски згради и складишта,20
2013M12,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2013M12,Број,127 Други нестанбени згради,4
2014M01,Број,11 Станови во станбени објекти (згради),632
2014M01,Број,111 Станови во објекти (згради) со еден стан,68
2014M01,Број,112 Станови во објекти (згради) со два и повеќе стана,564
2014M01,Број,12 Нестанбени згради,26
2014M01,Број,121 Хотели и слични згради,4
2014M01,Број,122 Деловни згради,3
2014M01,Број,123 Згради во трговијата на големо и на мало,2
2014M01,Број,124 Згради за сообраќај и други комуникации,1
2014M01,Број,125 Индустриски згради и складишта,8
2014M01,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2014M01,Број,127 Други нестанбени згради,6
2014M02,Број,11 Станови во станбени објекти (згради),445
2014M02,Број,111 Станови во објекти (згради) со еден стан,83
2014M02,Број,112 Станови во објекти (згради) со два и повеќе стана,362
2014M02,Број,12 Нестанбени згради,29
2014M02,Број,121 Хотели и слични згради,2
2014M02,Број,122 Деловни згради,1
2014M02,Број,123 Згради во трговијата на големо и на мало,7
2014M02,Број,125 Индустриски згради и складишта,15
2014M02,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2014M02,Број,127 Други нестанбени згради,2
2014M03,Број,11 Станови во станбени објекти (згради),592
2014M03,Број,111 Станови во објекти (згради) со еден стан,125
2014M03,Број,112 Станови во објекти (згради) со два и повеќе стана,467
2014M03,Број,12 Нестанбени згради,28
2014M03,Број,121 Хотели и слични згради,3
2014M03,Број,122 Деловни згради,2
2014M03,Број,123 Згради во трговијата на големо и на мало,7
2014M03,Број,125 Индустриски згради и складишта,10
2014M03,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",3
2014M03,Број,127 Други нестанбени згради,3
2014M04,Број,11 Станови во станбени објекти (згради),422
2014M04,Број,111 Станови во објекти (згради) со еден стан,86
2014M04,Број,112 Станови во објекти (згради) со два и повеќе стана,336
2014M04,Број,12 Нестанбени згради,21
2014M04,Број,121 Хотели и слични згради,1
2014M04,Број,122 Деловни згради,1
